country,sitename,province,locname,loclong,loclat,recs,presses,post_0,ante_0,post_1,ante_1
Italy,"Fiano Romano",Italia,"Villa ""della Standa""",12.592762,42.150051,1,2,-999,999,-999,999
Italy,"Fiano Romano",Italia,"Villa dei Volusii",12.600822,42.133263,1,2,-999,999,-999,999
Italy,Gragnano,Italia,"Casa Miri",14.51666667,40.6833333,1,2,-999,999,-999,999
Italy,Grottarossa,Italia,"Saxa Rubra",12.49194444,41.965,1,2,-200,-1,-999,999
Italy,Licenza,Italia,"Prato la Corte",12.91666667,42.0833333,1,2,1,9999,-999,999
Italy,Melfi,Italia,"Contrada Leonessa",15.603985,41.07704,1,4,-999,999,-999,999
Italy,Ordona,Italia,"Posta Crusta",15.61666667,41.3166666,1,2,-999,999,-999,999
Italy,Osimo,Italia,"Monte Torto",13.45369,43.488981,1,5,-50,-1,100,200
Italy,Pompeii,Italia,"Villa of the Mysteries",14.477484,40.753552,1,2,-80,-70,79,79
Italy,Rome,Italia,"Via Togliatti",12.49194444,41.8838888,1,2,-999,999,-999,999
